,Subj.,Date,Level,Fold,Type_Trial,Trial #,Sampling Freq,Dominant Freq. of Mvmt.,Acceleration with max-P.,Mean of PDF.,Variance of PDF,Var. in WMs,Mean of WSTDs,Var. in WSTDs,Average WRs,Average Acc.,Total Acceleration,Skew,Kurtosis,Mean % Change Between Adjacent Peaks,Mean Squared Jerk,Max Jerk,Scaled Mean Squared Jerk
0,c,cz,0,1,100724,norm1,98,0.8583941605839416,-0.020070990071621053,-0.009891878181089955,0.09154927488620923,0.038862301823493844,0.2487281891909737,0.1343440359748291,1.2305024318335995,-0.008899618478860798,-0.049383610736583726,0.8673358079831758,3.506529586518405,6.30823704577424,0.012802667424356665,0.9285900250247769,0.013787211879661383
1,c,cz,0,2,100724,norm1,98,1.85985401459854,-0.0337833612898818,0.0935359410405788,0.18313931686522122,0.10946993561660216,0.3922326307035422,0.1652584236313822,1.7007121492513535,0.0975158314310278,0.5478516089406216,1.159438563141912,1.585779723662501,0.951993544948405,0.019704949318118375,0.8764996921804703,0.02248141042593903
2,c,cz,0,3,100724,norm1,98,1.85985401459854,0.012383448504313055,0.11236162890156422,0.19267502605653405,0.14537044964879747,0.36569682375206414,0.18973434332921704,1.6372616778385158,0.11581090203980916,0.6272839015238245,1.688768765192178,3.5799056439668515,1.4833694626365461,0.024895012169741066,0.8403381389840956,0.029624993814796063
3,c,cz,0,4,100724,norm1,98,1.4306569343065692,-0.010973081232431903,0.11900351073212492,0.28681928304828386,0.13734346966279587,0.5229018250678578,0.12659986294979236,2.2119289615029287,0.1147164436347187,0.8179986561604202,1.219411681408569,1.4836198244271097,2.7552386027911346,0.02663069666708447,0.9327551800064687,0.028550574939610395
4,c,cz,0,5,100724,norm1,98,1.1445255474452554,-0.021155675930660922,0.08439660344577979,0.2523261544516762,0.11750763463056355,0.41572449672579487,0.18015639498334712,2.2563036276256927,0.08217443032811687,0.5469665131815487,1.526752464501292,3.537523795598764,2.9281524149498437,0.024387897051299554,1.028507410732741,0.0237119312868391
5,c,cz,0,6,100724,norm1,98,2.002919708029197,-0.03915066053881133,0.04891950623566175,0.2191807501581961,0.060346807242953916,0.4701110505004782,0.11889688626959113,2.301761879394424,0.05148329584800804,0.4154662297696186,1.6148189352396933,3.3033072444867875,0.6263504415201525,0.022210044833815713,0.8615647672879065,0.025778729211188657
6,c,cz,0,7,100724,norm1,98,1.4306569343065692,-0.02778008397282694,0.06180327004690764,0.17690675387921895,0.059490812010609795,0.34181206767951194,0.11883776979811295,1.791402885312289,0.061740953506635055,0.4854518618059388,1.5753339333257381,3.958911730626391,0.6087045926712288,0.02058864367500798,0.8830319584254993,0.023315853382836572
7,c,cz,0,8,100724,norm1,98,1.7167883211678832,-0.01860904687250786,0.02307239223067001,0.16439105488316935,0.0449012791613259,0.39872710754479557,0.16086394730322726,1.7746286874381294,0.025453809600590956,0.16471070527231277,1.3938816429108334,3.2954295432206404,0.6504305598061504,0.010755505782979286,0.6663137188627845,0.016141804496140343
8,c,cz,0,1,102424,norm1,98,1.1445255474452554,0.010019681910273803,0.07280938854896084,0.20876666545545822,0.1439149171797269,0.426566039709658,0.12322315090498516,1.934289139560594,0.0751379431896626,0.5029521049681299,1.3769046403541363,3.5622224938919445,1.7815296529133586,0.030272802378604233,0.9846590124727639,0.030744452643134256
9,c,cz,0,2,102424,norm1,98,1.0014598540145985,0.010942071217686755,0.1517290771153148,0.22322228626407326,0.12044481266509881,0.4074758513520406,0.17083576012069357,1.9501451550528976,0.15411886181132742,0.844100462033879,1.871711519477603,4.7336815617223955,2.186586475963086,0.03547206704248075,1.0690555115633875,0.033180753159025744
10,c,cz,0,3,102424,norm1,98,1.1445255474452554,0.0062716638866822105,0.14030471612323833,0.228637949596635,0.11557805577430852,0.38897008756814316,0.19105821130435274,1.883991162225559,0.14733019913082096,0.8516244382302548,1.3872150890855264,2.3114458542035834,2.7199206536641385,0.02453174500845446,1.0080465505069782,0.024335924760733197
11,c,cz,0,4,102424,norm1,98,1.4306569343065692,-0.00025510434616438094,0.0828124644568959,0.17797705643031136,0.10572654718248141,0.351267573299422,0.19217381028767733,1.4129148257131579,0.08270793759291065,0.47273182192045793,1.293769094280825,1.8279583309508451,-0.04827367681616405,0.00928472118535935,0.7193498952236047,0.012907100212301084
12,c,cz,0,5,102424,norm1,98,1.0014598540145985,0.0031932657427330424,0.029254512230219402,0.11816919688549277,0.019532569063098176,0.25203402800704916,0.1357659683999048,1.3448805266360973,0.029370407810016,0.05582864228773429,1.2132826502865457,2.6573227594164788,4.9809231064519235,0.010386489290582834,0.638444920804092,0.01626841870321645
13,c,cz,0,6,102424,norm1,98,1.85985401459854,0.008953492387715034,0.012911191344185854,0.06538842233050385,0.02773323786387333,0.23293324450402864,0.060137405348438325,1.2869344769617428,0.013808567962368734,0.1275923125131904,0.608853249692971,2.229047487314922,2.3355904480162777,0.008962344572164223,0.4788627113623599,0.01871589572440593
14,c,cz,0,7,102424,norm1,98,2.002919708029197,0.06406363013760163,0.052410360526682534,0.06683811025088662,0.03013687991359144,0.22429202580625016,0.11153829646076788,1.240859853278402,0.052260057334557304,0.3489411302877296,0.8697636144194998,5.907356284673469,7.0908624889703535,0.014517403750755812,0.8707543000598351,0.016672215973849602
15,c,cz,0,8,102424,norm1,98,1.0014598540145985,-0.011246628206223797,0.029888562509252845,0.06090590819441841,0.06389006513597606,0.19875148265310863,0.11019742152560244,0.924822209839767,0.029074812681307925,0.1315162894890394,0.2531269762903125,2.0930407218002998,-1.8412617913263065,0.008022725986053896,0.4613206276523877,0.01739078095614477
16,c,cz,0,9,102424,norm1,98,2.8613138686131383,0.0305530186291465,0.03258279787256134,0.04590499656958953,0.02712000423389375,0.20156666196095754,0.07060480999356226,1.1372202270691394,0.031487934361068705,0.21915762218185703,0.7659501357443903,3.912648273846405,2.0838144836788386,0.009435396982703065,0.5940781282307692,0.01588241770624131
17,c,cz,0,10,102424,norm1,98,4.721167883211678,-0.009879104610783673,0.026458188703413422,0.02753152668549061,0.023432738741954316,0.15735776816349675,0.04134240480513584,0.8198370981488777,0.025855834839513186,0.15463876702612095,1.2247429821265639,2.6334325935105447,1.3256712582448613,0.0053521871819847055,0.5200600769744659,0.010291478655931302
18,c,cz,0,11,102424,norm1,98,3.71970802919708,0.03307842782899462,0.05834593484728323,0.05737129523980362,0.027398996100705845,0.23148774817270143,0.018070307587569466,1.2188589741211469,0.05764478794079714,0.3088172764485815,0.19334788565752162,0.6437767490007786,1.0261153558036038,0.00936994892711416,0.45820140524576713,0.020449411153788073
19,c,cz,0,12,102424,norm1,98,2.145985401459854,0.031691722279991064,0.07704922880124958,0.08761545738618787,0.0768266546063003,0.2381574294166485,0.11467005446850813,1.1697675084430845,0.07577233550842115,0.5165891873930553,0.8101927373547624,2.8615238731701016,4.537173380842601,0.01214292942768521,0.7090930572187999,0.017124592187254137
20,c,cz,0,13,102424,norm1,98,0.7153284671532846,0.02665239772998751,0.1007689342559529,0.1758741623424332,0.1188716596099601,0.3892791609547777,0.15991614973301954,1.6948991341860904,0.09568129050726056,0.6111176953483923,0.5823454952801242,1.277726239118424,0.09876278334567463,0.023121151601699,0.7794702292764222,0.02966264872381622
21,c,cz,0,14,102424,norm1,98,2.145985401459854,0.04764961339193874,0.03182732175496496,0.09941883861178431,0.029438228832030646,0.30671389580946656,0.13589613608413395,1.3955226895359505,0.03112309759470962,0.14194416512379748,0.0773864873805065,1.7367826125884296,0.8368856704262602,0.010176301106034003,0.5158459340254271,0.019727403929740758
22,c,cz,0,15,102424,norm1,98,0.5722627737226277,0.04090574035435934,0.09589463687010538,0.12121887767958951,0.09638418838494607,0.3049779212116193,0.14867244319000125,1.2629746911592032,0.09464734326583107,0.5338660136456675,0.7379288063617119,1.7410866506077571,-0.3709373712198534,0.010428731991197348,0.7559184845126037,0.013796106597289415
23,c,cz,0,16,102424,norm1,98,2.7182481751824814,0.02518172774751226,0.11265565470032644,0.1294601174326866,0.03188191151560554,0.3140323726503462,0.11866562139890036,1.564091786687792,0.11215646177932076,0.5745190965181219,1.1823510444248355,2.8454578944568034,3.9837150903540457,0.016114521266601508,0.8122454498656411,0.01983947250091351
24,c,cz,0,17,102424,norm1,98,1.4306569343065692,0.010456495343096894,0.03880643896327919,0.15565695080201164,0.047447251741858223,0.3409750235273366,0.1434122730797861,1.5530847895505062,0.0344572362047008,0.07606918454627346,0.43707462387782015,0.5186598736738315,1.2799031349253105,0.018374075358513098,0.8237816536254522,0.022304545479556428
25,cz,102524,0,1,normcomb,1,98,1.85985401459854,-0.007577541160440071,0.0888979612011592,0.2324380298593178,0.10173569368763331,0.330517451925505,0.19506783577089037,1.5307489666819283,0.08954597319271526,0.35333921665230195,1.3766660924512848,2.7912504128435938,12.438603520476116,0.024184202012412875,0.8889661862161133,0.0272048615429941
26,cz,102524,0,2,normcomb,1,98,0.5722627737226277,0.04017933889702663,0.18464167319197886,0.2673396361170323,0.13292738902414866,0.43498049458930615,0.24118443694935798,1.9226724834746889,0.18538627473887284,1.0507900997821171,1.6541977384847748,3.471559425189117,0.48310618922825094,0.03361050056503122,1.0613352136457632,0.03166812910086787
27,cz,102524,0,3,normcomb,1,98,0.5722627737226277,0.02022838723097231,0.2010210325333359,0.3299687715188106,0.14717324693462003,0.488687840125257,0.20429106497381513,2.2001495120646353,0.21049477957574828,1.2282319069619012,1.5634387033646326,2.2865869529792935,0.8260751402331091,0.04062627517330447,1.068192106221331,0.038032742365994084
28,cz,102524,0,4,normcomb,1,98,1.7167883211678832,0.025035224633896624,0.08502703154251808,0.1794151501807455,0.08110323811289831,0.34634456924236573,0.1713304032508008,1.8335573126425893,0.08597829028045477,0.5247140556691264,2.062843047704411,5.824655816774632,0.9237868820835016,0.02458344099781643,0.9070064009533787,0.027103933304082662
29,cz,102524,0,5,normcomb,1,98,2.145985401459854,0.008943022151798652,0.05780645184960145,0.11072444119523983,0.08437186588069719,0.24799332154941622,0.1068020432943338,1.1660424548644264,0.057068596455887764,0.3515375684008975,1.2634168099839385,4.326485983903703,1.0780883411789415,0.016425718226733912,1.0262126943456442,0.016006153809281838
30,cz,102524,0,6,normcomb,1,98,1.4306569343065692,0.00858543093936226,0.12087710139160826,0.24813074218924727,0.12915086260152395,0.4563927696523587,0.2432332687013611,2.312618178808781,0.11922386143069717,0.827641911677639,1.9129714486594374,4.622834242787005,1.569922004169214,0.03804271719505679,1.1200733197222856,0.03396448832875442
31,cz,102524,0,7,normcomb,1,98,1.573722627737226,0.008536769685903556,0.03353734381460721,0.094763634925465,0.06774284381379576,0.29189431657433046,0.11040674588794244,1.453226295939655,0.0323058800236113,0.2620025458034736,1.4720277837365499,4.847385087768673,1.0443498315560413,0.013327440340542753,0.6831914670838101,0.019507621190631496
32,cz,102524,0,8,normcomb,1,98,1.4306569343065692,-0.023809644123596763,0.11304124463421157,0.20662417032966654,0.1108476177768246,0.4354369084770077,0.15209193616020547,1.8465708487907833,0.11533409312078545,0.8202796883421642,1.3386692172154946,1.7084523596795815,-0.3975827458015292,0.013909759183803745,1.0540676837041918,0.013196267563124827
33,cz,102524,0,9,normcomb,1,98,1.2875912408759123,-0.01790030598675263,0.09165430261473212,0.23318528259850446,0.07510032825549706,0.4297838245961663,0.2016091005746676,2.008380195390427,0.09609761905163088,0.5084815559171443,1.7442857648076888,4.2763537327758385,-0.40375930996809795,0.030521593479854357,1.1826465731719278,0.025807873774151856
34,cz,102824,0,1,normcomb,1,98,0.8583941605839416,-0.00041699774253334265,0.0774003969908115,0.138331498903887,0.11043289011525649,0.33716217502323825,0.13927962521115936,1.701017105801621,0.07689197818438541,0.5306602987786636,1.2944804901343006,3.2570981581313028,2.703429706143338,0.02977468000121227,0.9250552499319161,0.032186920730846814
35,cz,102824,0,2,normcomb,1,98,0.7153284671532846,-0.026477912467340214,0.1676517381750341,0.30268672669249913,0.10613262776685661,0.5222263425875782,0.17832284366833612,2.4323411095832905,0.16699941222662437,1.1230596506552213,1.8180464448486222,4.086733625950317,3.839871449945026,0.03908602728703971,1.3846705042492817,0.028227673780218735
36,cz,102824,0,3,normcomb,1,98,0.5722627737226277,0.01602272605221644,0.23006932291153892,0.2785520406901273,0.11682259586385604,0.4709805711980528,0.16051440515654974,2.1838313441975257,0.23090085601205476,1.182397253332345,1.4813025162318256,2.00270120079413,0.0006852215946845524,0.026907306864079404,0.9836917140504172,0.027353393832389567
37,cz,102824,0,4,normcomb,1,98,1.1445255474452554,0.03345889361331644,0.21032638543153542,0.22574625264385062,0.10080497628796013,0.4218758273187828,0.09793858149051024,2.1753710541372153,0.2096132222136303,1.2184454078621783,1.0969720444582964,1.1194461776818923,1.7568996467541367,0.03916725441609807,1.0749633617609342,0.03643589708205204
38,cz,102824,0,5,normcomb,1,98,2.002919708029197,0.02377700300692731,0.046512454786198545,0.17014873154631613,0.048314758811035266,0.3333091234119223,0.17809568391520808,1.5909104352124404,0.04592646889667636,0.17158477447306902,1.607147259678918,4.832140597919166,8.676385367566132,0.02511355023105975,1.0372314881700633,0.024212097798309573
39,cz,102824,0,6,normcomb,1,98,1.85985401459854,0.02733772274341184,0.10608740285032632,0.19491146046129587,0.10173845981101531,0.4056014581058229,0.14424569013249056,1.8818802507953973,0.10778205481416794,0.5571341785925203,1.4814970184755403,2.8569096862576213,0.5466078066823234,0.015657819616535763,0.8152550479472134,0.01920603822811237
40,cz,102824,0,7,normcomb,1,98,0.8583941605839416,0.08364948577695519,0.10377205926014926,0.13714904921671664,0.07035433451562213,0.3557459990963218,0.05397121254961716,1.6015457290832753,0.10306156610543518,0.6897768810757543,0.10026231159752717,0.346330824654447,-0.7387117901458367,0.014874957215129892,0.6642979018303017,0.022391997888516254
41,cz,102824,0,8,normcomb,1,98,2.145985401459854,0.06219849679767375,0.1251433862277629,0.15440254839129433,0.07487344678615,0.3554470695889817,0.11842599939549933,1.769150569665854,0.1268162596243084,0.757154533828413,1.1159005864646727,2.6313735389797586,1.2718543445819321,0.01829130605216241,0.7697504268535786,0.023762644896385056
42,cz,102824,0,9,normcomb,1,98,1.2875912408759123,0.05318130816106703,0.16292790571108368,0.22666612558218877,0.10688383678690908,0.3890283486502784,0.13840658811658824,1.9642920371261086,0.16600934588523916,0.9339591585117486,1.398795310281437,2.7698196511712467,-0.06550959506762821,0.032224157289683406,0.9059372042514235,0.03556996791660659
43,cz,110824,0,1,comb,1,98,1.2875912408759123,-0.008100238199702181,0.043444420000111304,0.13075850090704902,0.06191156072264995,0.32265242166714314,0.11799646943312021,1.4395163123063337,0.03997390117117763,0.25257132727713816,0.6972940543615765,0.8297235756769075,1.4596109950161986,0.010136577412324984,0.668286511972414,0.015168011370463527
44,cz,110824,0,2,comb,1,98,0.7153284671532846,0.05305104447442455,0.12398467108562514,0.1461228041651599,0.07047887627246054,0.36873523726438945,0.11229074160503474,1.7614570940473362,0.1251850886487147,0.8080019080650407,1.3380457420328258,2.601669844223707,5.863231294953431,0.026602183662851858,0.8336206947100664,0.03191161619626551
